assertion_id,subject_entity_id,predicate,object_type,object_value,event_date,event_title,event_summary,source_url,source_type,status,last_updated,notes
A00001,prs_thomas-dohmke,founder_of,entity_id,cmp_entire,2026-02-11,,From daily report item #11 text,data/raw/wechat/2026-02-11.md#11,relation_seed,seeded,2026-02-12,migrated_from_relations:R0001
A00002,prs_sam-altman,founder_of,entity_id,cmp_openai,2015,,Historical founder relation,https://en.wikipedia.org/wiki/OpenAI,relation_seed,seeded,2026-02-12,migrated_from_relations:R0002
A00003,prs_mark-zuckerberg,founder_of,entity_id,cmp_meta,2004,,Historical founder relation,https://en.wikipedia.org/wiki/Facebook,relation_seed,seeded,2026-02-12,migrated_from_relations:R0003
A00004,prs_elon-musk,founder_of,entity_id,cmp_xai,2023,,Historical founder relation,https://en.wikipedia.org/wiki/XAI_(company),relation_seed,seeded,2026-02-12,migrated_from_relations:R0004
A00005,cmp_google,founded,text,Google founded,1998,Google founded,Google was founded by Larry Page and Sergey Brin.,https://en.wikipedia.org/wiki/Google,reference,seeded,2026-02-12,migrated_from_timeline:T0001
A00006,cmp_meta,founded,text,Facebook launched,2004,Facebook launched,Facebook was launched by Mark Zuckerberg and co-founders.,https://en.wikipedia.org/wiki/Facebook,reference,seeded,2026-02-12,migrated_from_timeline:T0002
A00007,cmp_meta,rebrand,text,Meta rebrand,2021,Meta rebrand,"Facebook, Inc. rebranded to Meta Platforms, Inc.",https://en.wikipedia.org/wiki/Meta_Platforms,reference,seeded,2026-02-12,migrated_from_timeline:T0003
A00008,cmp_openai,founded,text,OpenAI founded,2015,OpenAI founded,OpenAI was founded as an AI research organization.,https://en.wikipedia.org/wiki/OpenAI,reference,seeded,2026-02-12,migrated_from_timeline:T0004
A00009,cmp_openai,product_launch,text,ChatGPT public release,2022,ChatGPT public release,OpenAI released ChatGPT publicly.,https://en.wikipedia.org/wiki/ChatGPT,reference,seeded,2026-02-12,migrated_from_timeline:T0005
A00010,cmp_anthropic,founded,text,Anthropic founded,2021,Anthropic founded,Anthropic was founded by former OpenAI researchers.,https://en.wikipedia.org/wiki/Anthropic,reference,seeded,2026-02-12,migrated_from_timeline:T0006
A00011,cmp_hugging-face,founded,text,Hugging Face founded,2016,Hugging Face founded,Hugging Face was founded as an AI company and open ecosystem.,https://en.wikipedia.org/wiki/Hugging_Face,reference,seeded,2026-02-12,migrated_from_timeline:T0007
A00012,cmp_xai,founded,text,xAI founded,2023,xAI founded,xAI was founded by Elon Musk.,https://en.wikipedia.org/wiki/XAI_(company),reference,seeded,2026-02-12,migrated_from_timeline:T0008
A00013,prs_sam-altman,role_change,text,Became OpenAI CEO,2019,Became OpenAI CEO,Sam Altman became CEO of OpenAI.,https://en.wikipedia.org/wiki/Sam_Altman,reference,seeded,2026-02-12,migrated_from_timeline:T0009
A00014,prs_mark-zuckerberg,founding,text,Founded Facebook,2004,Founded Facebook,Mark Zuckerberg co-founded Facebook.,https://en.wikipedia.org/wiki/Mark_Zuckerberg,reference,seeded,2026-02-12,migrated_from_timeline:T0010
A00015,prs_elon-musk,founding,text,Founded xAI,2023,Founded xAI,Elon Musk founded xAI.,https://en.wikipedia.org/wiki/Elon_Musk,reference,seeded,2026-02-12,migrated_from_timeline:T0011
A00016,cmp_entire,report_event,text,Entire seed event in daily report,2026-02-11,Entire seed event in daily report,Entire and founder event appeared in daily report item #11.,data/raw/wechat/2026-02-11.md#11,daily_report,seeded,2026-02-12,migrated_from_timeline:T0012
