issue_seq,date,item_no,source_url,entity_category,entity_name,event_type,event_summary,funding_amount_usd,founder_info,confidence
1,2026-02-11,1,https://qwen.ai/blog?id=qwen-image-2.0,Company,Qwen Team,ModelRelease,发布 Qwen-Image-2.0 统一图像模型,,Unknown,high
1,2026-02-11,2,https://github.com/OpenMOSS/MOSS-TTS,Company,MOSI.AI,OpenSourceRelease,与 OpenMOSS 联合发布 MOSS-TTS 家族,,Unknown,high
1,2026-02-11,2,https://github.com/OpenMOSS/MOSS-TTS,Community,OpenMOSS,OpenSourceRelease,发布 MOSS-TTS 多模型语音家族,,Unknown,high
1,2026-02-11,3,https://github.com/inclusionAI/LLaDA2.X,Company,Ant Group,ModelRelease,发布 LLaDA2.1 扩散大语言模型,,Unknown,high
1,2026-02-11,4,https://huggingface.co/AngelSlim/HY-1.8B-2Bit,Company,Tencent Hunyuan,ModelRelease,发布 HY-1.8B-2Bit 端侧量化模型,,Unknown,high
1,2026-02-11,5,https://x.com/embirico/status/2021376881942200801,Company,OpenAI,RoutingPolicy,高风险 GPT-5.3-Codex 请求路由至 GPT-5.2,,Sam Altman,high
1,2026-02-11,6,https://x.com/OpenAIDevs/status/2021286050623373500,Company,OpenAI,APIUpdate,Responses API 新增长任务与 Agent Skills,,Sam Altman,high
1,2026-02-11,7,https://x.com/lydiahallie/status/2021012074160324633,Company,Anthropic,ToolingUpdate,Claude Code Desktop 引入 YOLO 权限跳过模式,,Dario Amodei; Daniela Amodei,high
1,2026-02-11,8,https://www.warp.dev/blog/oz-orchestration-platform-cloud-agents,Company,Warp,PlatformLaunch,推出 Oz 云原生 Agent 编排平台,,Unknown,high
1,2026-02-11,9,https://linux.do/t/topic/1589167,Company,Antigravity,ModelAccess,向 Pro 账户提供 Claude Opus 4.6,,Unknown,medium
1,2026-02-11,10,https://github.com/google-gemini/gemini-skills,Company,Google Gemini,OpenSourceRelease,发布 Gemini API skills 代码库,,Larry Page; Sergey Brin,high
