fact_id,date,issue_seq,item_no,subject,subject_category,fact_type,fact_statement,evidence_id
F001,2026-02-11,1,1,Qwen Team,Company,ModelRelease,发布 Qwen-Image-2.0 统一图像模型,E001
F002,2026-02-11,1,2,MOSI.AI,Company,OpenSourceRelease,与 OpenMOSS 联合发布 MOSS-TTS 家族,E002
F003,2026-02-11,1,2,OpenMOSS,Community,OpenSourceRelease,发布 MOSS-TTS 多模型语音家族,E002
F004,2026-02-11,1,3,Ant Group,Company,ModelRelease,发布 LLaDA2.1 扩散大语言模型,E003
F005,2026-02-11,1,4,Tencent Hunyuan,Company,ModelRelease,发布 HY-1.8B-2Bit 端侧量化模型,E004
F006,2026-02-11,1,6,OpenAI,Company,APIUpdate,Responses API 新增长任务与 Agent Skills,E006
F007,2026-02-11,1,8,Warp,Company,PlatformLaunch,推出 Oz 云原生 Agent 编排平台,E008
F008,2026-02-11,1,10,Google Gemini,Company,OpenSourceRelease,发布 Gemini API skills 代码库,E010
F009,2026-02-11,1,11,Entire,Company,Funding,成立并完成种子轮融资,E011
F010,2026-02-11,1,12,draw.io,Company,DeveloperToolLaunch,发布官方 MCP 服务器 @drawio/mcp,E012
F011,2026-02-11,1,13,Anthropic,Company,ProductLaunch,发布 Windows 版 Claude Cowork,E013
F012,2026-02-11,1,15,OpenAI,Company,ProductUpdate,ChatGPT Deep Research 升级至 GPT-5.2,E015
F013,2026-02-11,1,16,Google Stitch,Company,ProductUpdate,支持导出为 Figma 可编辑图层,E016
F014,2026-02-11,1,17,Obsidian,Company,DeveloperToolLaunch,发布 Obsidian CLI,E017
F015,2026-02-11,1,18,Doubao,Product,CampaignLaunch,上线与央视春晚联名活动,E018
F016,2026-02-11,1,20,Nebius,Company,Acquisition,收购 Tavily 以增强 agentic search 能力,E020
F017,2026-02-11,1,20,Tavily,Company,Acquired,被 Nebius 收购,E020
F018,2026-02-11,1,21,Anthropic,Company,ResearchReport,发布 2026 Agent 编程趋势报告,E021
F019,2026-02-11,1,22,Unsloth,Company,TrainingOptimization,发布 MoE 训练优化方案,E022
F020,2026-02-11,1,23,Google Chrome,Company,StandardPreview,Chrome 146 推出 WebMCP 早期预览,E023
F021,2026-02-10,2,1,OpenAI,Company,MonetizationTest,在美国对 ChatGPT Free/Go 测试广告,E025
F022,2026-02-10,2,2,OpenAI,Company,PolicyUpdate,Codex 将继续向 Free/Go 用户可用,E026
F023,2026-02-10,2,3,OpenRouter,Company,ModelRelease,上线 stealth 模型 Aurora Alpha,E027
F024,2026-02-10,2,4,Cursor,Company,ModelRelease,发布编程模型 Composer 1.5,E028
F025,2026-02-10,2,5,OpenAI,Company,PartnerRollout,逐步向第三方开放 GPT-5.3-Codex,E029
F026,2026-02-10,2,6,Meituan CatPaw,Company,ToolingOpenAccess,AI 编程工具 CatPaw 全量开放,E030
F027,2026-02-10,2,7,Hugging Face,Company,FrameworkRelease,发布 Transformers.js v4 预览版,E031
F028,2026-02-10,2,8,ModelScope,Platform,APIPlatformLaunch,推出 OpenAPI 与 OAuth 服务,E032
F029,2026-02-10,2,9,Sora,Product,FeatureLaunch,上线 Extensions 视频续写功能,E033
F030,2026-02-10,2,10,Zhipu AI,Company,Rumor,GLM-5 架构细节曝光参数约 700B-800B,E034
F031,2026-02-09,3,1,Qwen Team,Company,Rumor,Qwen 3.5 系列模型提交支持 PR 即将发布,E035
F032,2026-02-09,3,2,xAI,Company,ModelAPIRelease,上线 Grok Imagine Image Pro 与标准版 API,E036
F033,2026-02-09,3,3,WorkBuddy,Product,ProductLaunch,CodeBuddy 团队发布 AI 桌面工作台并开放内测,E037
F034,2026-02-09,3,4,ByteDance,Company,PreviewRelease,Seedream 5.0-Preview 文档发布并限免 2K/4K 生图,E038
