evidence_id,source_url,domain,verification_status,verification_basis,captured_at
E001,https://qwen.ai/blog?id=qwen-image-2.0,qwen.ai,verified,official_or_primary_source,2026-02-11
E002,https://github.com/OpenMOSS/MOSS-TTS,github.com,verified,official_or_primary_source,2026-02-11
E003,https://github.com/inclusionAI/LLaDA2.X,github.com,verified,official_or_primary_source,2026-02-11
E004,https://huggingface.co/AngelSlim/HY-1.8B-2Bit,huggingface.co,verified,official_or_primary_source,2026-02-11
E005,https://x.com/embirico/status/2021376881942200801,x.com,pending,unverified_social_account:embirico,2026-02-11
E006,https://x.com/OpenAIDevs/status/2021286050623373500,x.com,verified,official_social_account,2026-02-11
E007,https://x.com/lydiahallie/status/2021012074160324633,x.com,pending,unverified_social_account:lydiahallie,2026-02-11
E008,https://www.warp.dev/blog/oz-orchestration-platform-cloud-agents,www.warp.dev,verified,official_or_primary_source,2026-02-11
E009,https://linux.do/t/topic/1589167,linux.do,pending,non_official_media,2026-02-11
E010,https://github.com/google-gemini/gemini-skills,github.com,verified,official_or_primary_source,2026-02-11
E011,https://entire.io/blog/hello-entire-world,entire.io,verified,official_or_primary_source,2026-02-11
E012,https://x.com/drawio/status/2020918870375370825,x.com,verified,official_social_account,2026-02-11
E013,https://x.com/claudeai/status/2021336313979625910,x.com,verified,official_social_account,2026-02-11
E014,https://x.com/jenny_wen/status/2021242950139650209,x.com,pending,unverified_social_account:jenny_wen,2026-02-11
E015,https://x.com/OpenAI/status/2021299935678026168,x.com,verified,official_social_account,2026-02-11
E016,https://x.com/stitchbygoogle/status/2021320125983621626,x.com,verified,official_social_account,2026-02-11
E017,https://help.obsidian.md/cli,help.obsidian.md,verified,official_or_primary_source,2026-02-11
E018,https://mp.weixin.qq.com/s/LXa1fUQTsjxQuPWITE9oQw,mp.weixin.qq.com,verified,official_or_primary_source,2026-02-11
E019,https://techcrunch.com/2026/02/10/ai-video-startup-runway-raises-315m-at-5-3b-valuation-eyes-more-capable-world-models,techcrunch.com,pending,non_official_media,2026-02-11
E020,https://nebius.com/newsroom/nebius-announces-agreement-to-acquire-tavily-to-add-agentic-search-to-its-ai-cloud-platform,nebius.com,verified,official_or_primary_source,2026-02-11
E021,https://resources.anthropic.com/hubfs/2026%20Agentic%20Coding%20Trends%20Report.pdf?hsLang=en,resources.anthropic.com,verified,official_or_primary_source,2026-02-11
E022,https://unsloth.ai/docs/new/faster-moe,unsloth.ai,verified,official_or_primary_source,2026-02-11
E023,https://docs.google.com/document/d/1rtU1fRPS0bMqd9abMG_hc6K9OAI6soUy3Kh00toAgyk/edit,docs.google.com,verified,official_or_primary_source,2026-02-11
E024,https://x.com/testingcatalog/status/2021356522853531949,x.com,pending,unverified_social_account:testingcatalog,2026-02-11
E025,https://openai.com/index/testing-ads-in-chatgpt/,openai.com,verified,official_or_primary_source,2026-02-11
E026,https://x.com/sama/status/2020986318210420954,x.com,verified,official_social_account,2026-02-11
E027,https://openrouter.ai/openrouter/aurora-alpha,openrouter.ai,verified,official_or_primary_source,2026-02-11
E028,https://cursor.com/cn/blog/composer-1-5,cursor.com,verified,official_or_primary_source,2026-02-11
E029,https://x.com/OpenAIDevs/status/2020921792941166928,x.com,verified,official_social_account,2026-02-11
E030,https://mp.weixin.qq.com/s/tLa2PFvcUP0X7GgZKztwsA,mp.weixin.qq.com,verified,official_or_primary_source,2026-02-11
E031,https://huggingface.co/blog/transformersjs-v4,huggingface.co,verified,official_or_primary_source,2026-02-11
E032,https://mp.weixin.qq.com/s/zpq-GVFuY90DZXw0tC_2NA,mp.weixin.qq.com,verified,official_or_primary_source,2026-02-11
E033,https://x.com/soraofficialapp/status/2021001367033425951,x.com,verified,official_social_account,2026-02-11
E034,https://github.com/huggingface/transformers/pull/43858,github.com,verified,official_or_primary_source,2026-02-11
E035,https://github.com/huggingface/transformers/pull/43830/,github.com,verified,official_or_primary_source,2026-02-11
E036,https://docs.x.ai/developers/model-capabilities/images/generation,docs.x.ai,verified,official_or_primary_source,2026-02-11
E037,https://www.codebuddy.cn/work,www.codebuddy.cn,verified,official_or_primary_source,2026-02-11
E038,https://bytedance.larkoffice.com/wiki/TQyJwfRFiiVMUdkFY84cCb7CncI,bytedance.larkoffice.com,verified,official_or_primary_source,2026-02-11
E039,https://www.testingcatalog.com/meta-ai-redies-avacado-manus-agent-and-openclaw-integration/,www.testingcatalog.com,pending,non_official_media,2026-02-11
