date,entity_name,entity_category,event_type,statement,evidence_id
2026-02-11,Qwen Team,Company,ModelRelease,发布 Qwen-Image-2.0 统一图像模型,E001
2026-02-11,MOSI.AI,Company,OpenSourceRelease,与 OpenMOSS 联合发布 MOSS-TTS 家族,E002
2026-02-11,OpenMOSS,Community,OpenSourceRelease,发布 MOSS-TTS 多模型语音家族,E002
2026-02-11,Ant Group,Company,ModelRelease,发布 LLaDA2.1 扩散大语言模型,E003
2026-02-11,Tencent Hunyuan,Company,ModelRelease,发布 HY-1.8B-2Bit 端侧量化模型,E004
2026-02-11,OpenAI,Company,APIUpdate,Responses API 新增长任务与 Agent Skills,E006
2026-02-11,Warp,Company,PlatformLaunch,推出 Oz 云原生 Agent 编排平台,E008
2026-02-11,Google Gemini,Company,OpenSourceRelease,发布 Gemini API skills 代码库,E010
2026-02-11,draw.io,Company,DeveloperToolLaunch,发布官方 MCP 服务器 @drawio/mcp,E012
2026-02-11,Anthropic,Company,ProductLaunch,发布 Windows 版 Claude Cowork,E013
2026-02-11,OpenAI,Company,ProductUpdate,ChatGPT Deep Research 升级至 GPT-5.2,E015
2026-02-11,Google Stitch,Company,ProductUpdate,支持导出为 Figma 可编辑图层,E016
2026-02-11,Obsidian,Company,DeveloperToolLaunch,发布 Obsidian CLI,E017
2026-02-11,Doubao,Product,CampaignLaunch,上线与央视春晚联名活动,E018
2026-02-11,Unsloth,Company,TrainingOptimization,发布 MoE 训练优化方案,E022
2026-02-11,Google Chrome,Company,StandardPreview,Chrome 146 推出 WebMCP 早期预览,E023
2026-02-10,OpenRouter,Company,ModelRelease,上线 stealth 模型 Aurora Alpha,E027
2026-02-10,Cursor,Company,ModelRelease,发布编程模型 Composer 1.5,E028
2026-02-10,Meituan CatPaw,Company,ToolingOpenAccess,AI 编程工具 CatPaw 全量开放,E030
2026-02-10,Hugging Face,Company,FrameworkRelease,发布 Transformers.js v4 预览版,E031
2026-02-10,ModelScope,Platform,APIPlatformLaunch,推出 OpenAPI 与 OAuth 服务,E032
2026-02-10,Sora,Product,FeatureLaunch,上线 Extensions 视频续写功能,E033
2026-02-09,xAI,Company,ModelAPIRelease,上线 Grok Imagine Image Pro 与标准版 API,E036
2026-02-09,WorkBuddy,Product,ProductLaunch,CodeBuddy 团队发布 AI 桌面工作台并开放内测,E037
