candidate_id,event_date,subject_text,subject_entity_id,event_title,source_domain,source_url,promotion_score,promotion_bucket,status,notes
C00005,2026-02-03,OpenAI,cmp_openai,OpenAI 发布 Codex App,openai.com,https://openai.com/index/introducing-the-codex-app/,6,high,candidate,from_ai_daily_primary_link
C00008,2026-02-03,OpenAI,cmp_openai,Snowflake与OpenAI达成2亿美元模型集成合作,openai.com,https://openai.com/index/snowflake-partnership/,6,high,candidate,from_ai_daily_primary_link
C00015,2026-02-05,Hugging Face,cmp_hugging-face,上海AI实验室推出万亿参数多模态科学推理模型Intern-S1-Pro,huggingface.co,https://huggingface.co/internlm/Intern-S1-Pro,6,high,candidate,from_ai_daily_primary_link
C00016,2026-02-05,OpenAI,cmp_openai,上海AI实验室推出万亿参数多模态科学推理模型Intern-S1-Pro,huggingface.co,https://huggingface.co/internlm/Intern-S1-Pro,6,high,candidate,from_ai_daily_primary_link
C00022,2026-02-06,Anthropic,cmp_anthropic,Anthropic发布Claude Opus 4.6,anthropic.com,https://www.anthropic.com/news/claude-opus-4-6,6,high,candidate,from_ai_daily_primary_link
C00023,2026-02-06,Claude Opus 4.6,cpt_claude-opus-4-6,Anthropic发布Claude Opus 4.6,anthropic.com,https://www.anthropic.com/news/claude-opus-4-6,6,high,candidate,from_ai_daily_primary_link
C00024,2026-02-06,GPT-5.3-Codex,cpt_gpt-5-3-codex,OpenAI发布GPT-5.3-Codex,openai.com,https://openai.com/index/introducing-gpt-5-3-codex/,6,high,candidate,from_ai_daily_primary_link
C00025,2026-02-06,OpenAI,cmp_openai,OpenAI发布GPT-5.3-Codex,openai.com,https://openai.com/index/introducing-gpt-5-3-codex/,6,high,candidate,from_ai_daily_primary_link
C00026,2026-02-06,OpenAI,cmp_openai,OpenAI 推出企业 AI Agent平台 Frontier,openai.com,https://openai.com/index/introducing-openai-frontier/,6,high,candidate,from_ai_daily_primary_link
C00027,2026-02-06,GPT-5.3-Codex,cpt_gpt-5-3-codex,OpenAI 推出 Trusted Access for Cyber 试点项目,openai.com,https://openai.com/index/trusted-access-for-cyber/,6,high,candidate,from_ai_daily_primary_link
C00028,2026-02-06,OpenAI,cmp_openai,OpenAI 推出 Trusted Access for Cyber 试点项目,openai.com,https://openai.com/index/trusted-access-for-cyber/,6,high,candidate,from_ai_daily_primary_link
C00031,2026-02-06,OpenAI,cmp_openai,OpenAI揭晓Codex核心架构,github.com,https://github.com/openai/codex/discussions/9956,6,high,candidate,from_ai_daily_primary_link
C00033,2026-02-06,Anthropic,cmp_anthropic,Anthropic揭示基础设施配置影响 Agent 评估,anthropic.com,https://www.anthropic.com/engineering/infrastructure-noise,6,high,candidate,from_ai_daily_primary_link
C00034,2026-02-06,OpenAI,cmp_openai,OpenAI与Ginkgo合作推出AI实验室降低合成成本40%,openai.com,https://openai.com/index/gpt-5-lowers-protein-synthesis-cost/,6,high,candidate,from_ai_daily_primary_link
C00035,2026-02-07,LongCat,cpt_longcat,美团推出LongCat-Flash-Lite模型,huggingface.co,https://huggingface.co/meituan-longcat/LongCat-Flash-Lite,6,high,candidate,from_ai_daily_primary_link
C00036,2026-02-07,LongCat-Flash-Lite,cpt_longcat-flash-lite,美团推出LongCat-Flash-Lite模型,huggingface.co,https://huggingface.co/meituan-longcat/LongCat-Flash-Lite,6,high,candidate,from_ai_daily_primary_link
C00053,2026-02-08,OpenAI,cmp_openai,OpenAI 推进AI模型本土化策略,openai.com,https://openai.com/index/our-approach-to-localization/,6,high,candidate,from_ai_daily_primary_link
C00054,2026-02-08,OpenAI for Countries,cpt_openai-for-countries,OpenAI 推进AI模型本土化策略,openai.com,https://openai.com/index/our-approach-to-localization/,6,high,candidate,from_ai_daily_primary_link
C00055,2026-02-08,PLawBench,cpt_plawbench,千问Qwen等联合推出法律评测基准PLawBench,arxiv.org,https://arxiv.org/abs/2601.16669,6,high,candidate,from_ai_daily_primary_link
C00057,2026-02-09,Gated DeltaNet,cpt_gated-deltanet,Qwen 3.5系列模型即将发布（原文）,github.com,https://github.com/huggingface/transformers/pull/43830/,6,high,candidate,from_ai_daily_primary_link
C00058,2026-02-09,Hugging Face,cmp_hugging-face,Qwen 3.5系列模型即将发布（原文）,github.com,https://github.com/huggingface/transformers/pull/43830/,6,high,candidate,from_ai_daily_primary_link
C00059,2026-02-09,Qwen 3.5,cpt_qwen-3-5,Qwen 3.5系列模型即将发布（原文）,github.com,https://github.com/huggingface/transformers/pull/43830/,6,high,candidate,from_ai_daily_primary_link
